"","tract","year","count","population","crimerate"
"290","001902",2019,71,1625,43.6923076923077
"291","002001",2010,81,1897,42.6989984185556
"292","002001",2011,86,1897,45.3347390616763
"293","002001",2012,73,1897,38.4818133895625
"294","002001",2013,72,1897,37.9546652609383
"295","002001",2014,83,1897,43.7532946758039
"296","002001",2015,60,1897,31.6288877174486
"297","002001",2016,58,1897,30.5745914602003
"298","002001",2017,37,1897,19.5044807590933
"299","002001",2018,58,1897,30.5745914602003
"300","002001",2019,55,1897,28.9931470743279
"301","002002",2010,166,2994,55.4442217768871
"302","002002",2011,181,2994,60.4542418169673
"303","002002",2012,206,2994,68.8042752171009
"304","002002",2013,202,2994,67.4682698730795
"305","002002",2014,273,2994,91.1823647294589
"306","002002",2015,237,2994,79.1583166332665
"307","002002",2016,201,2994,67.1342685370741
"308","002002",2017,170,2994,56.7802271209085
"309","002002",2018,185,2994,61.7902471609886
"310","002002",2019,192,2994,64.128256513026
"311","002101",2010,277,4155,66.6666666666667
"312","002101",2011,218,4155,52.4669073405536
"313","002101",2012,250,4155,60.1684717208183
"314","002101",2013,249,4155,59.927797833935
"315","002101",2014,252,4155,60.6498194945848
"316","002101",2015,249,4155,59.927797833935
"317","002101",2016,228,4155,54.8736462093863
"318","002101",2017,198,4155,47.6534296028881
"319","002101",2018,138,4155,33.2129963898917
"320","002101",2019,125,4155,30.0842358604091
"321","002102",2010,225,3652,61.6100766703176
"322","002102",2011,187,3652,51.2048192771084
"323","002102",2012,190,3652,52.026286966046
"324","002102",2013,213,3652,58.3242059145674
"325","002102",2014,225,3652,61.6100766703176
"326","002102",2015,229,3652,62.7053669222344
"327","002102",2016,149,3652,40.7995618838992
"328","002102",2017,129,3652,35.3231106243154
"329","002102",2018,154,3652,42.1686746987952
"330","002102",2019,124,3652,33.9539978094195
"331","002201",2010,123,2724,45.1541850220264
"332","002201",2011,106,2724,38.913362701909
"333","002201",2012,112,2724,41.1160058737151
"334","002201",2013,167,2724,61.3069016152717
"335","002201",2014,121,2724,44.4199706314244
"336","002201",2015,105,2724,38.5462555066079
"337","002201",2016,106,2724,38.913362701909
"338","002201",2017,88,2724,32.3054331864905
"339","002201",2018,90,2724,33.0396475770925
"340","002201",2019,91,2724,33.4067547723935
"341","002202",2010,121,2440,49.5901639344262
"342","002202",2011,78,2440,31.9672131147541
"343","002202",2012,115,2440,47.1311475409836
"344","002202",2013,116,2440,47.5409836065574
"345","002202",2014,114,2440,46.7213114754098
"346","002202",2015,112,2440,45.9016393442623
"347","002202",2016,87,2440,35.655737704918
"348","002202",2017,85,2440,34.8360655737705
"349","002202",2018,73,2440,29.9180327868852
"350","002202",2019,80,2440,32.7868852459016
"351","002301",2010,96,2398,40.0333611342786
"352","002301",2011,77,2398,32.1100917431193
"353","002301",2012,72,2398,30.0250208507089
"354","002301",2013,88,2398,36.697247706422
"355","002301",2014,88,2398,36.697247706422
"356","002301",2015,87,2398,36.2802335279399
"357","002301",2016,62,2398,25.8548790658882
"358","002301",2017,92,2398,38.3653044203503
"359","002301",2018,72,2398,30.0250208507089
"360","002301",2019,84,2398,35.0291909924937
"361","002302",2010,84,1915,43.8642297650131
"362","002302",2011,67,1915,34.9869451697128
"363","002302",2012,77,1915,40.2088772845953
"364","002302",2013,97,1915,50.6527415143603
"365","002302",2014,99,1915,51.6971279373368
"366","002302",2015,88,1915,45.9530026109661
"367","002302",2016,65,1915,33.9425587467363
"368","002302",2017,64,1915,33.420365535248
"369","002302",2018,75,1915,39.1644908616188
"370","002302",2019,50,1915,26.1096605744125
"371","002400",2010,204,2951,69.1291087766859
"372","002400",2011,153,2951,51.8468315825144
"373","002400",2012,204,2951,69.1291087766859
"374","002400",2013,246,2951,83.3615723483565
"375","002400",2014,211,2951,71.501186038631
"376","002400",2015,177,2951,59.9796679091833
"377","002400",2016,151,2951,51.1690952219587
"378","002400",2017,163,2951,55.2355133852931
"379","002400",2018,154,2951,52.1856997627923
"380","002400",2019,189,2951,64.0460860725178
"381","002501",2010,89,2092,42.5430210325048
"382","002501",2011,87,2092,41.5869980879541
"383","002501",2012,112,2092,53.5372848948375
"384","002501",2013,117,2092,55.9273422562142
"385","002501",2014,122,2092,58.3173996175908
"386","002501",2015,130,2092,62.1414913957935
"387","002501",2016,98,2092,46.8451242829828
"388","002501",2017,105,2092,50.1912045889101
"389","002501",2018,115,2092,54.9713193116635
"390","002501",2019,81,2092,38.7189292543021
"391","002502",2010,337,4826,69.8300870285951
"392","002502",2011,347,4826,71.9021964359718
"393","002502",2012,298,4826,61.7488603398259
"394","002502",2013,370,4826,76.6680480729383
"395","002502",2014,399,4826,82.6771653543307
"396","002502",2015,394,4826,81.6411106506423
"397","002502",2016,432,4826,89.5151263986738
